36,-0.62,1.40,31.95,-1.99,-0.99,2.04
37,-0.63,1.42,31.92,0.53,2.95,-0.64
38,-0.62,1.41,31.96,-3.02,-0.61,1.55
39,-0.62,1.41,31.98,4.59,1.37,3.26
40,-0.62,1.42,31.97,-3.76,4.77,3.27
41,-0.62,1.42,31.97,-2.54,0.38,2.78
42,-0.62,1.42,31.97,4.05,5.99,-0.64
43,-0.62,1.42,31.97,3.80,-0.60,4.00
44,-0.62,1.42,31.97,3.56,-0.36,4.98
45,-0.62,1.42,31.99,1.39,-2.30,5.71
46,-0.62,1.42,31.98,-3.46,-1.08,0.34
47,-0.62,1.42,31.98,0.21,1.36,3.27
48,-0.62,1.42,31.98,-2.48,-1.81,6.44
49,-0.62,1.42,31.98,-1.50,-1.57,-1.12
50,-0.62,1.42,31.98,-4.43,4.05,6.44
51,-0.61,1.42,31.98,0.82,-2.76,1.07
52,-0.61,1.42,31.98,-0.17,-0.10,7.90
53,-0.61,1.42,31.98,1.78,2.09,4.00
54,-0.61,1.42,31.98,-2.37,1.61,-0.15
55,-0.61,1.42,31.98,-2.37,-1.08,3.02
56,-0.61,1.42,31.98,-2.61,-3.28,2.29
57,-0.60,1.41,31.97,-9.26,-4.42,-1.38
58,-0.60,1.42,31.96,1.13,0.54,2.53
59,-0.60,1.42,31.96,-0.09,-4.83,0.58
60,-0.60,1.42,31.96,-0.82,-1.90,3.27
61,-0.60,1.42,31.96,-1.55,1.28,1.56
62,-0.61,1.42,31.95,-2.79,-4.81,5.71
63,-0.61,1.42,31.96,0.45,1.92,-2.10
64,-0.61,1.42,31.96,-1.26,4.61,5.95
65,-0.61,1.42,31.96,-3.70,-1.25,-1.13
66,-0.61,1.42,31.96,2.89,0.70,0.83
67,-0.61,1.42,31.96,6.06,-1.49,5.22
68,-0.61,1.43,31.96,1.81,1.86,3.03
69,-0.61,1.44,31.95,1.73,1.18,4.50
70,-0.61,1.44,31.95,5.63,0.69,1.57
71,-0.61,1.44,31.95,2.95,-5.42,7.18
72,-0.61,1.44,31.95,6.12,5.08,0.59
73,-0.61,1.44,31.95,4.90,-2.73,6.94
74,-0.61,1.44,31.94,-0.51,-2.51,1.81
75,-0.62,1.43,31.95,-2.43,0.29,-1.37
76,-0.62,1.43,31.95,3.18,-3.86,-2.83
77,-0.62,1.43,31.95,-6.34,-4.35,0.83
78,-0.62,1.43,31.95,1.23,2.49,2.05
79,-0.62,1.43,31.95,0.25,0.78,2.05
80,-0.62,1.42,31.95,2.39,3.29,4.25
81,-0.62,1.41,31.94,-5.59,-1.79,-2.10
82,-0.62,1.41,31.94,-2.66,-2.52,-3.81
83,-0.62,1.41,31.94,-1.19,-1.79,0.83
84,-0.62,1.41,31.94,-0.22,-3.50,1.56
